Time,FSR Value
0.0,0
0.411,0
0.6,0
0.801,0
1.016,0
1.017,0
1.018,0
1.019,0
1.02,0
1.022,0
1.023,0
1.024,0
1.025,0
1.026,0
1.027,0
1.17,0
1.373,0
1.575,0
1.777,0
1.979,0
2.182,0
2.384,0
2.586,0
2.788,0
2.99,0
3.193,0
3.397,0
3.604,0
3.802,0
4.016,0
4.204,0
4.406,0
4.608,0
4.81,0
5.013,0
5.215,0
5.417,0
5.62,0
5.824,180
6.028,483
6.232,529
6.436,501
6.641,407
6.845,516
7.049,442
7.253,186
7.458,449
7.662,351
7.866,292
8.071,108
8.275,366
8.479,425
8.683,491
8.887,291
9.091,260
9.295,445
9.5,359
9.704,384
9.908,168
10.114,0
10.315,197
10.519,145
10.723,145
10.927,385
11.132,320
11.336,345
11.54,343
11.743,93
11.947,286
12.152,340
12.356,390
12.56,589
12.764,395
12.969,266
13.173,267
13.377,424
13.581,499
13.785,428
13.99,502
14.194,448
14.398,151
14.602,292
14.807,349
15.011,413
15.215,382
15.419,395
15.622,71
15.827,243
16.031,320
16.235,409
16.44,460
16.644,174
16.848,181
17.052,216
17.256,310
17.461,546
17.665,516
17.869,267
18.073,621
18.278,519
18.482,177
18.686,540
18.896,556
19.094,639
19.299,543
19.503,361
19.707,519
19.911,310
20.116,296
20.32,678
20.524,532
20.728,421
20.933,571
21.137,611
21.341,425
21.545,234
21.75,616
21.954,442
22.16,304
22.362,619
22.566,339
22.771,200
22.975,617
23.179,351
23.383,273
23.588,504
23.792,282
23.996,621
24.2,338
24.405,516
24.609,488
24.813,388
25.017,352
25.221,334
25.426,285
25.63,315
25.834,121
26.038,183
26.243,315
26.447,472
26.651,106
26.855,164
27.06,444
27.264,584
27.468,439
27.672,147
27.877,317
28.079,0
28.283,233
28.486,32
28.69,353
28.895,239
29.099,274
29.303,540
29.507,714
29.712,518
29.916,597
30.12,164
30.324,426
30.538,682
30.733,615
30.937,648
31.141,542
31.345,353
31.55,345
31.753,74
31.956,41
32.159,55
32.363,35
32.566,33
32.769,41
32.972,43
33.176,80
33.421,81
33.582,76
33.785,65
33.989,80
34.192,45
34.394,0
34.596,0
34.799,69
35.003,99
35.207,285
35.411,443
35.616,198
35.819,36
36.022,56
36.226,284
36.43,187
36.635,282
36.839,362
37.043,302
37.247,352
37.452,496
37.656,580
37.86,441
38.064,471
38.269,361
38.473,181
38.677,433
38.881,203
39.085,431
39.29,544
39.494,611
39.698,538
39.902,453
40.105,0
40.307,0
40.509,0
40.711,0
40.913,0
41.116,0
41.318,0
41.52,0
41.722,0
41.925,18
42.13,175
42.333,97
42.537,136
42.74,21
42.945,200
43.149,639
43.353,582
43.557,142
43.761,37
43.965,246
44.169,508
44.373,592
44.578,426
44.782,244
44.989,601
45.196,549
45.395,627
45.599,634
45.803,652
46.008,603
46.212,546
46.416,423
46.62,534
46.824,514
47.028,482
47.233,409
47.437,710
47.642,593
47.845,119
48.049,22
48.251,0
48.453,0
48.655,0
48.857,0
49.06,0
49.262,0
49.464,0
49.666,0
49.869,0
50.071,0
50.273,0
50.475,0
50.678,0
50.88,0
51.084,188
51.332,2
51.535,114
51.741,108
51.897,0
52.099,0
52.302,21
52.505,0
52.707,0
52.909,0
53.111,0
53.314,0
53.516,0
53.718,0
53.92,0
54.123,0
54.325,0
54.527,0
54.729,0
54.932,0
55.134,0
55.336,0
55.538,0
55.74,0
55.943,0
56.145,0
56.347,0
56.549,0
56.752,0
56.954,0
57.156,0
57.359,0
57.561,0
57.763,0
57.966,0
58.167,0
58.37,0
58.572,0
58.774,0
58.976,0
59.178,0
59.381,0
59.583,0
59.785,0
59.987,0
60.19,0
60.392,0
60.594,0
60.796,0
60.998,0
61.201,0
61.403,0
61.605,0
61.807,0
62.01,0
62.212,0
62.414,0
62.616,0
62.819,0
63.021,0
63.223,0
63.425,0
63.628,0
63.83,0
64.032,0
64.234,0
64.436,0
64.639,0
64.841,0
65.043,0
65.245,0
65.448,0
65.65,0
65.852,0
66.054,0
66.256,0
66.459,0
66.661,0
66.863,0
67.065,0
67.267,0
67.47,0
67.672,0
67.874,0
68.077,0
68.279,0
68.481,0
68.683,0
68.886,0
69.088,0
69.29,0
69.492,0
69.695,0
69.897,0
70.099,0
70.301,0
70.503,0
70.706,0
70.908,0
71.11,0
71.312,0
71.515,0
71.717,0
71.919,0
72.121,0
72.324,0
72.526,0
72.728,0
72.93,0
73.133,0
73.335,0
73.537,0
73.739,0
73.941,0
74.144,0
74.346,0
74.548,0
0.002,0
0.071,0
0.122,0
0.18,0
0.232,0
0.285,0
0.337,0
0.389,0
0.441,0
0.493,0
0.545,0
0.597,0
0.652,0
0.704,0
0.006,0
0.07,0
0.132,0
0.184,0
0.237,0
0.289,0
0.343,0
0.395,0
0.447,0
0.499,0
0.552,0
0.603,0
0.655,0
0.809,0
0.064,0
0.143,0
0.201,0
0.262,0
0.316,0
0.369,0
0.422,0
0.475,0
0.528,0
0.581,0
0.635,0
0.687,0
0.741,0
0.794,0
0.897,0
1.103,0
1.307,0
0.005,0
0.061,0
0.116,0
0.17,0
0.223,0
0.276,0
0.329,0
0.381,0
0.434,0
0.486,0
0.539,0
0.592,0
0.644,0
0.798,0
1.001,0
